step,lr,train_loss,ema_loss,val_loss,grad_norm,tok_per_s,elapsed_s
570,0.00029996485725786095,1.758761078119278,2.8148512721819783,1.7378238439559937,0.48309290409088135,184142.77158686484,10.67693281173706
580,0.00029995393343929596,1.7481189966201782,2.7615146584038883,1.7021759748458862,0.4307500720024109,184141.4269876831,10.677010774612427
590,0.00029994153378613635,1.6775008738040924,2.7073139691738985,1.6949845552444458,0.4675423204898834,184177.65167551817,10.6749107837677
600,0.00029992765843398286,1.7006682753562927,2.6569816844830183,1.6706470251083374,0.6073201894760132,184310.10734250175,10.66723918914795
610,0.00029991230753457403,1.6539227068424225,2.6068287356009883,1.678526520729065,0.42030662298202515,184130.3707683844,10.67765188217163
620,0.00029989548125578484,1.6753957271575928,2.5602570851788182,1.674339771270752,0.4981693923473358,184087.90979695172,10.68011474609375
630,0.00029987717978162485,1.6297704577445984,2.513732753807107,1.6346241235733032,0.391957551240921,184127.3736063377,10.677825689315796
640,0.000299857403312236,1.5844323337078094,2.4672677328021417,1.6353553533554077,0.41208547353744507,183951.8543292947,10.688014030456543
650,0.00029983615206389055,1.5748072266578674,2.4226447074949276,1.622241735458374,0.357839435338974,183503.19461458173,10.71414589881897
660,0.0002998134262689888,1.5599705576896667,2.379511000004664,1.6146496534347534,0.4204472005367279,183264.39586904363,10.72810673713684
670,0.00029978922617605647,1.5942794978618622,2.3402494248975243,1.6037691831588745,0.37137579917907715,183290.8363512701,10.726559162139893
680,0.00029976355204974173,1.596119612455368,2.303042934275416,1.574841856956482,0.3580707907676697,183104.1688294398,10.737494468688965
690,0.00029973640417081286,1.5641991198062897,2.26610074355196,1.5856086015701294,0.38510435819625854,183131.09585688057,10.735915660858154
700,0.0002997077828361546,1.5616320669651031,2.230877309722617,1.5774445533752441,0.34427410364151,182952.69646671024,10.746384382247925
710,0.00029967768835876537,1.5371856093406677,2.1961927247035193,1.550196886062622,0.3580036461353302,183760.30062544136,10.699155330657959
720,0.0002996461210677535,1.5419565737247467,2.1634809171545806,1.5625110864639282,0.3451845943927765,183438.9845806107,10.717896223068237
730,0.0002996130813083339,1.5530126988887787,2.1329575062412904,1.553158164024353,0.3456887900829315,179079.62155330344,10.978803634643555
740,0.000299578569441824,1.5577200055122375,2.1041956312048375,1.5470187664031982,0.3293582797050476,178715.6967193379,11.001160144805908
750,0.0002995425858456401,1.6194292306900024,2.0799573111790957,1.523764967918396,0.33701324462890625,181030.34165566135,10.860499858856201
760,0.000299505130913293,1.4959146082401276,2.050755176032147,1.5334831476211548,0.35803619027137756,182320.59977177472,10.783641576766968
770,0.00029946620505438387,1.488857924938202,2.02266031347745,1.5198110342025757,0.319489061832428,180749.35865906908,10.87738299369812
